"Place_ID.X.Date","target"
"0OS9LVX X 2020-01-02",60.475
"0OS9LVX X 2020-01-03",19.6266666666667
"0OS9LVX X 2020-01-04",25.055
"0OS9LVX X 2020-01-05",30.865
"0OS9LVX X 2020-01-06",48.7325
"0OS9LVX X 2020-01-07",48.5433333333333
"0OS9LVX X 2020-01-08",47.15
"0OS9LVX X 2020-01-09",49.1725
"0OS9LVX X 2020-01-10",40.5541666666667
"0OS9LVX X 2020-01-11",44.1141666666667
"0OS9LVX X 2020-01-12",40.8325
"0OS9LVX X 2020-01-13",48.7362222222222
"0OS9LVX X 2020-01-14",48.2958333333333
"0OS9LVX X 2020-01-15",46.4571666666667
"0OS9LVX X 2020-01-16",41.0258333333333
"0OS9LVX X 2020-01-17",61.4691666666667
"0OS9LVX X 2020-01-18",59.7291666666667
"0OS9LVX X 2020-01-19",29.6241666666667
"0OS9LVX X 2020-01-20",36.6441666666667
"0OS9LVX X 2020-01-21",29.8491666666667
"0OS9LVX X 2020-01-22",34.7533333333333
"0OS9LVX X 2020-01-23",25.8025
"0OS9LVX X 2020-01-24",26.2505
"0OS9LVX X 2020-01-25",29.8003333333333
"0OS9LVX X 2020-01-26",33.8525
"0OS9LVX X 2020-01-27",36.7558333333333
"0OS9LVX X 2020-01-28",34.8975
"0OS9LVX X 2020-01-29",35.5283333333333
"0OS9LVX X 2020-01-30",45.04
"0OS9LVX X 2020-01-31",46.25
"0OS9LVX X 2020-02-01",36.9416666666667
"0OS9LVX X 2020-02-02",40.2466666666667
"0OS9LVX X 2020-02-03",54.6883333333333
"0OS9LVX X 2020-02-04",42.2666666666667
"0OS9LVX X 2020-02-05",37.716
"0OS9LVX X 2020-02-06",30.9366666666667
"0OS9LVX X 2020-02-07",23.5825
"0OS9LVX X 2020-02-08",33.8495833333333
"0OS9LVX X 2020-02-09",29.1408333333333
"0OS9LVX X 2020-02-10",41.7941666666667
"0OS9LVX X 2020-02-11",41.2351666666667
"0OS9LVX X 2020-02-12",29.6166666666667
"0OS9LVX X 2020-02-13",35.5483333333333
"0OS9LVX X 2020-02-14",47.9241666666667
"0OS9LVX X 2020-02-15",34.215
"0OS9LVX X 2020-02-16",31.8711666666667
"0OS9LVX X 2020-02-17",28.4841666666667
"0OS9LVX X 2020-02-18",30.8783333333333
"0OS9LVX X 2020-02-19",26.1816666666667
"0OS9LVX X 2020-02-20",54.3003333333333
"0OS9LVX X 2020-02-21",37.4836666666667
"0OS9LVX X 2020-02-22",53.875
"0OS9LVX X 2020-02-23",26.9585
"0OS9LVX X 2020-02-24",34.7851666666667
"0OS9LVX X 2020-02-25",21.9038333333333
"0OS9LVX X 2020-02-26",44.2108333333333
"0OS9LVX X 2020-02-27",34.9243333333333
"0OS9LVX X 2020-02-28",40.2226666666667
"0OS9LVX X 2020-02-29",33.645
"0OS9LVX X 2020-03-01",56.5433333333333
"0OS9LVX X 2020-03-02",33.9133333333333
"0OS9LVX X 2020-03-03",40.9958333333333
"0OS9LVX X 2020-03-04",47.1075
"0OS9LVX X 2020-03-05",48.839
"0OS9LVX X 2020-03-06",40.3975
"0OS9LVX X 2020-03-07",51.3541666666667
"0OS9LVX X 2020-03-08",33.2941666666667
"0OS9LVX X 2020-03-09",28.8601666666667
"0OS9LVX X 2020-03-10",27.1425833333333
"0OS9LVX X 2020-03-11",52.28
"0OS9LVX X 2020-03-12",34.51
"0OS9LVX X 2020-03-13",37.7686666666667
"0OS9LVX X 2020-03-14",44.7816666666667
"0OS9LVX X 2020-03-15",31.7151666666667
"0OS9LVX X 2020-03-16",40.0966666666667
"0OS9LVX X 2020-03-17",35.3751666666667
"0OS9LVX X 2020-03-18",45.0758333333333
"0OS9LVX X 2020-03-19",29.3791666666667
"0OS9LVX X 2020-03-20",22.6526666666667
"0OS9LVX X 2020-03-21",27.3543333333333
"0OS9LVX X 2020-03-22",44.6583333333333
"0OS9LVX X 2020-03-23",40.0966666666667
"0OS9LVX X 2020-03-24",41.3915
"0OS9LVX X 2020-03-25",35.6705
"0OS9LVX X 2020-03-26",35.5558333333333
"0OS9LVX X 2020-03-27",45.5576666666667
"0OS9LVX X 2020-03-28",47.4616666666667
"0OS9LVX X 2020-03-29",46.2308333333333
"0OS9LVX X 2020-03-30",45.56
"0OS9LVX X 2020-03-31",38.1591666666667
"0OS9LVX X 2020-04-01",51.805
"0OS9LVX X 2020-04-02",33.3575
"0OS9LVX X 2020-04-03",48.4132638888889
"0OS9LVX X 2020-04-04",75.4649115416747
"0Q2LTOG X 2020-01-02",96.241052631579
"0Q2LTOG X 2020-01-03",111.625
"0Q2LTOG X 2020-01-04",133.28
"0Q2LTOG X 2020-01-05",113.847083333333
"0Q2LTOG X 2020-01-06",52.8028571428571
"0Q2LTOG X 2020-01-07",53.0575
"0Q2LTOG X 2020-01-08",43.6991666666667
"0Q2LTOG X 2020-01-09",85.0725
"0Q2LTOG X 2020-01-10",128.1725
"0Q2LTOG X 2020-01-11",134.4025
"0Q2LTOG X 2020-01-12",107.228333333333
"0Q2LTOG X 2020-01-13",66.43
"0Q2LTOG X 2020-01-14",152.42
"0Q2LTOG X 2020-01-15",109.518333333333
"0Q2LTOG X 2020-01-16",111.830833333333
"0Q2LTOG X 2020-01-17",176.194166666667
"0Q2LTOG X 2020-01-18",132.7525
"0Q2LTOG X 2020-01-19",85.785
"0Q2LTOG X 2020-01-20",126.87
"0Q2LTOG X 2020-01-21",130.889166666667
"0Q2LTOG X 2020-01-22",143.165
"0Q2LTOG X 2020-01-23",98.4725
"0Q2LTOG X 2020-01-24",86.7383333333333
"0Q2LTOG X 2020-01-25",88.0636538461538
"0Q2LTOG X 2020-01-26",132.385
"0Q2LTOG X 2020-01-27",46.2491666666667
"0Q2LTOG X 2020-01-28",52.8625
"0Q2LTOG X 2020-01-29",129.791666666667
"0Q2LTOG X 2020-01-30",85.3883333333333
"0Q2LTOG X 2020-01-31",139.330833333333
"0Q2LTOG X 2020-02-01",101.84
"0Q2LTOG X 2020-02-02",91.7683333333333
"0Q2LTOG X 2020-02-03",78.8808333333333
"0Q2LTOG X 2020-02-04",89.5725
"0Q2LTOG X 2020-02-05",58.9633333333333
"0Q2LTOG X 2020-02-06",91.2483333333333
"0Q2LTOG X 2020-02-07",98.16
"0Q2LTOG X 2020-02-08",87.5816666666667
"0Q2LTOG X 2020-02-09",94.2108333333333
"0Q2LTOG X 2020-02-10",140.376666666667
"0Q2LTOG X 2020-02-11",93.6716666666667
"0Q2LTOG X 2020-02-12",49.3191666666667
"0Q2LTOG X 2020-02-13",119.335
"0Q2LTOG X 2020-02-14",122.986666666667
"0Q2LTOG X 2020-02-15",52.4016666666667
"0Q2LTOG X 2020-02-16",51.3416666666667
"0Q2LTOG X 2020-02-17",39.2975
"0Q2LTOG X 2020-02-18",81.5258333333333
"0Q2LTOG X 2020-02-19",107.715
"0Q2LTOG X 2020-02-20",136.775
"0Q2LTOG X 2020-02-21",110.699166666667
"0Q2LTOG X 2020-02-22",64.2541666666667
"0Q2LTOG X 2020-02-23",75.1275
"0Q2LTOG X 2020-02-24",81.6908333333333
"0Q2LTOG X 2020-02-25",59.2058333333333
"0Q2LTOG X 2020-02-26",91.0083333333333
"0Q2LTOG X 2020-02-27",144.02
"0Q2LTOG X 2020-02-28",96.11
"0Q2LTOG X 2020-02-29",92.4908333333333
"0Q2LTOG X 2020-03-01",75.8258333333333
"0Q2LTOG X 2020-03-02",56.0575
"0Q2LTOG X 2020-03-03",122.059166666667
"0Q2LTOG X 2020-03-04",55.4158333333333
"0Q2LTOG X 2020-03-05",88.2116666666667
"0Q2LTOG X 2020-03-06",98.9316666666667
"0Q2LTOG X 2020-03-07",108.04
"0Q2LTOG X 2020-03-08",116.941666666667
"0Q2LTOG X 2020-03-09",143.456666666667
"0Q2LTOG X 2020-03-10",61.0708333333333
"0Q2LTOG X 2020-03-11",58.5491666666667
"0Q2LTOG X 2020-03-12",81.2108333333333
"0Q2LTOG X 2020-03-13",59.0908333333333
